First Name,Last Name,Salary,Position,Team,Opponent,Line,Power_Play,Projection
John,Doe1,4300,C,A,B,1,1,7.9
John,Doe2,4200,W,A,B,1,1,6.4
John,Doe3,4200,W,A,B,1,1,4
John,Doe4,4700,C,A,B,2,1,4.3
John,Doe5,4700,W,A,B,2,2,5.4
John,Doe6,4500,W,A,B,2,2,3
John,Doe7,4900,C,A,B,3,2,3.1
John,Doe8,4400,W,A,B,3,2,3
John,Doe9,3600,W,A,B,3,x,4
John,Doe10,3200,C,A,B,4,x,1.6
John,Doe11,3000,W,A,B,4,x,0.7
John,Doe12,3000,W,A,B,4,x,1.5
John,Doe13,6300,D,A,B,x,1,2.5
John,Doe14,7800,D,A,B,x,2,2.2
John,Doe15,4400,D,A,B,x,x,0
John,Doe16,5800,D,A,B,x,x,2.3
John,Doe17,5800,D,A,B,x,x,2.2
John,Doe18,4000,D,A,B,x,x,0.5
John,Doe19,4000,C,B,A,1,1,3
John,Doe20,6500,W,B,A,1,1,7
John,Doe21,5100,W,B,A,1,1,5.7
John,Doe22,4200,C,B,A,2,1,5.1
John,Doe23,5800,W,B,A,2,2,5.6
John,Doe24,5800,W,B,A,2,2,4.5
John,Doe25,3100,C,B,A,3,2,2.6
John,Doe26,3200,W,B,A,3,2,2.6
John,Doe27,3700,W,B,A,3,x,2.2
John,Doe28,3100,C,B,A,4,x,1.8
John,Doe29,3100,W,B,A,4,x,0
John,Doe30,3500,W,B,A,4,x,0.1
John,Doe31,4600,D,B,A,x,1,1.4
John,Doe32,4900,D,B,A,x,2,2.1
John,Doe33,4400,D,B,A,x,x,0.9
John,Doe34,7000,D,B,A,x,x,0.4
John,Doe35,7600,D,B,A,x,x,1.5
John,Doe36,7200,D,B,A,x,x,0.1
John,Doe37,5500,C,C,D,1,1,6.1
John,Doe38,7500,W,C,D,1,1,5.6
John,Doe39,6300,W,C,D,1,1,5.7
John,Doe40,5600,C,C,D,2,1,6
John,Doe41,5400,W,C,D,2,2,5.7
John,Doe42,5600,W,C,D,2,2,4
John,Doe43,3400,C,C,D,3,2,2.7
John,Doe44,4600,W,C,D,3,2,3.7
John,Doe45,3100,W,C,D,3,x,2
John,Doe46,3100,C,C,D,4,x,0.8
John,Doe47,3300,W,C,D,4,x,0.7
John,Doe48,3400,W,C,D,4,x,1.8
John,Doe49,6500,D,C,D,x,1,2.7
John,Doe50,8000,D,C,D,x,2,1.1
John,Doe51,6500,D,C,D,x,x,2.6
John,Doe52,7000,D,C,D,x,x,0.4
John,Doe53,5900,D,C,D,x,x,1.8
John,Doe54,5000,D,C,D,x,x,2.9
John,Doe55,5400,C,D,C,1,1,4.7
John,Doe56,4400,W,D,C,1,1,4.9
John,Doe57,7800,W,D,C,1,1,4.8
John,Doe58,3700,C,D,C,2,1,4.1
John,Doe59,3400,W,D,C,2,2,3.6
John,Doe60,3100,W,D,C,2,2,5.3
John,Doe61,4500,C,D,C,3,2,3.2
John,Doe62,3900,W,D,C,3,2,3.7
John,Doe63,3800,W,D,C,3,x,2.4
John,Doe64,3100,C,D,C,4,x,1.6
John,Doe65,3200,W,D,C,4,x,2
John,Doe66,3500,W,D,C,4,x,1.9
John,Doe67,6500,D,D,C,x,1,3.4
John,Doe68,5200,D,D,C,x,2,1.7
John,Doe69,6700,D,D,C,x,x,2.4
John,Doe70,4700,D,D,C,x,x,0.6
John,Doe71,4300,D,D,C,x,x,0.8
John,Doe72,5700,D,D,C,x,x,1.4
John,Doe73,6300,C,E,F,1,1,5.6
John,Doe74,7200,W,E,F,1,1,4.8
John,Doe75,5600,W,E,F,1,1,7.7
John,Doe76,3300,C,E,F,2,1,5.9
John,Doe77,4900,W,E,F,2,2,5.6
John,Doe78,4400,W,E,F,2,2,3.8
John,Doe79,5000,C,E,F,3,2,2.1
John,Doe80,4700,W,E,F,3,2,3.5
John,Doe81,3700,W,E,F,3,x,3.1
John,Doe82,3100,C,E,F,4,x,1.9
John,Doe83,3300,W,E,F,4,x,0.8
John,Doe84,3400,W,E,F,4,x,1.9
John,Doe85,4000,D,E,F,x,1,1.7
John,Doe86,4700,D,E,F,x,2,4
John,Doe87,7700,D,E,F,x,x,1.5
John,Doe88,7900,D,E,F,x,x,2.5
John,Doe89,7200,D,E,F,x,x,0.8
John,Doe90,4800,D,E,F,x,x,1.3
John,Doe91,7700,C,F,E,1,1,6.7
John,Doe92,7500,W,F,E,1,1,3.3
John,Doe93,7500,W,F,E,1,1,7.6
John,Doe94,3200,C,F,E,2,1,5.4
John,Doe95,4700,W,F,E,2,2,5
John,Doe96,3500,W,F,E,2,2,5.3
John,Doe97,4700,C,F,E,3,2,3.2
John,Doe98,3500,W,F,E,3,2,3.8
John,Doe99,3900,W,F,E,3,x,2.7
John,Doe100,3000,C,F,E,4,x,0.9
John,Doe101,3000,W,F,E,4,x,0.1
John,Doe102,3100,W,F,E,4,x,0.9
John,Doe103,7200,D,F,E,x,1,2.6
John,Doe104,7100,D,F,E,x,2,2.7
John,Doe105,5600,D,F,E,x,x,2.3
John,Doe106,6900,D,F,E,x,x,1.7
John,Doe107,4300,D,F,E,x,x,0
John,Doe108,7000,D,F,E,x,x,1.8
John,Doe109,6500,C,G,H,1,1,6.8
John,Doe110,4300,W,G,H,1,1,3.3
John,Doe111,7800,W,G,H,1,1,6.1
John,Doe112,5400,C,G,H,2,1,4.7
John,Doe113,3400,W,G,H,2,2,3.8
John,Doe114,4900,W,G,H,2,2,6
John,Doe115,3000,C,G,H,3,2,3.1
John,Doe116,3600,W,G,H,3,2,2.4
John,Doe117,3500,W,G,H,3,x,3.7
